Chinese,French
寂寞,solitude
梳妆台,une commode
后人,postérité
陪审团,jury
烤,rôti
罕见,rare
食堂,cantine
盟友,allié
电报,télégramme
有罪,coupable
尸体,corps
肉,chair
植物,plante
生长,grandir
滑动,faire glisser
困境,situation critique
疫苗接种,vaccination
凝视性,ingratitude
防守,défendre
矿石,minerai
裸体,nu
活动,campagne
朝着,vers
重罪犯,criminel
汇款,remise
牙科,dentaire
密封,scellé
体液,fluide
结尾,finir
步兵,infanterie
围攻,assiéger
顺利,doucement
核,coeur
描绘,représenter
假想,imaginaire
灯架,balise
回绝,rebuffade
窗户,la fenêtre
哺乳动物,mammifère
舵,barre
很快,bientôt
篮子,corbeille
运输,transport
探险家,explorateur
他自己,lui-même
相当,équitablement
无助,sans espoir
部分,section
必要,requis
古董,antique
太阳的,solaire
洗剂,lotion
平等的,égal
爆炸,a éclaté
离别,séparation
fell,est tombée
摆动,remuer
jut,saillie
卡路里,calorie
苍凉,sombre
发光,embrasé
乳制品,laitier
锅炉,Chaudière
黄瓜,concombre
起诉书,accusation
最安全的,sûr
追求,poursuite
宁静,sérénité
贞洁,chaste
肉豆蔻,Noix de muscade
下列的,Suivant
通货膨胀,inflation
失去,perdre
发作,crise d'épilepsie
电灯泡,ampoule
礼仪,étiquette
建筑,imeuble
建议,délibérément
啤酒,Bière
器官,organe
牛,bœufs
施洗,baptiser
适应,adapter
烦恼,contrariété
超出,dépasser
高度,très
抽搐,tic
大厦,Manoir
勤勉,diligence
扳手,clé
皱眉,froncer les sourcils
管理,la gestion
钻孔,plate-forme
老式的,démodé
教派,secte
一般的,général
花粉,pollen
无私,désintéressé
强调,surligner
激素,hormone
侵入,intrusion
圆盘,disque
派对,faire la fête
牙线,soie
华尔兹,valse
缺陷,défaut
坦率,franc
可能性,probabilité
ex,exalter
学期,terme
反感,antipathie
个人,individuel
脚,pied
优质的,prime
半岛,péninsule
逆转,inverser
搬运工,porter
住所,hébergement
冷静的,calmer
雇工,hireline
流血的,saignement
挑剔,délicat
杂志,magazine
从事,engager
笼,cage
守望者,directeur
流血,saigner
亲身,personnellement
弄脏,tache
明智的,sage
续约,renouvellement
反对,s'opposer
婴儿,bébé
孩子,enfant
最多,plus
实际的,réaliste
骇人听闻,épouvantable
电影,film
程序,procédure
王朝,dynastie
然而,encore
荒唐,discourtois
不安,inquiet
超过,dépasser
脑,cerveau
召唤,convoquer
酸的,aigre
回声,écho
简单,facile
细分,subdiviser
鸡,volaille
搅拌机,mixeur
稳重,calme
速度,taux
典当,pion
情绪,sentiment
谦虚,modeste
愤世嫉俗,cynique
希望,souhaiter
领导,plombé
声讨,dénoncer
成本,Coût
不伦不类,quelconque
昏死,Assommer
卷,robe
咖啡,café
高于平均水平,au dessus de la moyenne
可怕的,lanaistable
忽略,omettre
重点,répercussion
仪表,mètre
后者,dernier
令人难以置信的,incroyablement
解释,interpréter
不可缺少的,intégral
属于,qui appartiennent
锦标赛,championnat
白日梦,Rêve
def,défensive
原子,atomique
说出,rap
派遣,envoi
夏天,l'été
湿,humide
愤慨,scandaleux
元素,élémentaire
接待室,antichambre
欢迎,Bienvenue
蜡笔,crayon
酸奶,yaourt
其次,Deuxièmement
拼错,mal orthographier
欠,dû
车轮,roue
方案,schème
搁浅,échoué
糟糕的,terrible
犁,charrue
旅行,voyager
登上,monté
类固醇,stéroïde
诺格,notoriété
不正确,Incorrect
掠夺者,prédateur
故意地,délibérément
展览,exposition
精通,compétent
油,huile
正式,officiellement
戒指,anneau
bad,mal
鞍,selle
下沉,évier
否定,nier
爆米花,Popcorn
阁楼,penthouse
北方,nord
疯狂的,insensé
分,marais
钥匙,clé
明信片,carte postale
花环,guirlande
搜集,collecter
废墟,se ruiner
sp,filé
Perky.,guilleret
引擎,moteur
茶匙,cuillère à café
前提,prémisse
伯爵,comte
单词,mot
违反,violer
深,profondément
戳,coller
裂痕,crevasse
不足,carence
船上,une planche
鳗鱼,anguille
隐,caché
采摘,cueillir
三文鱼,Saumon
服装,tenue
合作,collaborer
记录,enregistrer
骡子,mule
尖塔,flèche
困惑,perplexité
灵魂,spiritueux
筛,tamiser
相等的,équivalent
借口,prétexte
岸上,à terre
无关紧要,hors du sujet
浸渍,plongement
笨蛋,idiot
合唱,Refrain
金发女郎,blond
次要的,mineur
笑,sourire
回收,récupérer
pl,beaucoup
哒,bruit
爬行,crawl
原来的,original
前面,avant
自由,librement
漫无目的,sans but
十一月,novembre
健身房,gym
交往,rapports
俚语,argot
丧失,déclarer forfait
st,étourdir
悲惨,tragique
自然,la nature
可怕的,horriblement
关于,À propos
obl,obliger
野鸡,faisan
书店,librairie
收藏,collection
大街,rue
海洋,océan
组成,consister
调色板,palette
锡,étain
场景,scène
桃,pêche
区别,distinction
爆发,explosion
mind,stupide
中继,relais
战略,stratégique
最低,le plus bas
进入,entrant
特别的,spécial
到达,arrivée
无知,ignorance
天线,antenne
发现,découverte
麻痹,paralysie
是,est
谏,avertir
创伤,traumatiser
隔离的,isolé
流利,aisance
撇号,apostrophe
着色,teinte
糖果,confiserie
坚不可摧,imprenable
严格的,rigoureux
地点,lieu
悲观,pessimiste
助产士,sage-femme
雕刻,graver
中央,centre
这,les
pr,landau
周年纪念日,anniversaire
夹克,veste
生的,cru
月亮,lune
达到,réaliser
恳求,supplier
白色的,blanche
腰带,ceinture
十八,dix-huit
囚禁,captivité
恐吓,intimidant
夹紧,serrer
支票簿,chéquier
垃圾邮件,pourriel
智者,sauge
祝贺,toutes nos félicitations
名人,célébrité
支撑,entretoise
肥硕,bière
艺术家,artiste
发射,lancement
农场,cultiver
疯狂的,fou
橄榄,olive
hun,gros morceau
光束,rayonner
学者,savant
水坑,flaque
去,est allé
不要脸,éhonté
更远,plus loin
政治上,politiquement
毁坏,dévasté
名声,réputation
回复,réponse
con,con
职业,professionnel
顶峰,Pic
彩票,loterie
ind,indélicat
运河,canal
不安全,peu sûr
鲸,baleine
塔克,tucker
健忘症,amnésie
达布,idiot
身体的,physique
半,à mi-chemin
资金,le financement
因此,Par conséquent
战斗,combat
章鱼,poulpe
痴迷,obsession
双边,bilatéral
后台,backstage
苗圃,garderie
mind,stupide
班,van
早餐,déjeuner
呼吸器,respirateur
迅速地,vite
赎回,racheter
mer,joyeux
课程,curriculum
欧洲,L'Europe 
介于两者之间,entraver
恶作剧,blague
画,Peinture
击退,repousser
捆,empaqueter
干旱,aride
ingoing.,ingénieux
剂量,dose
教学大纲,programme
海豹,joint
最近的,récent
最愚蠢的,stupide
旁,à côté de
音乐,musical
浪费,prodigue
环境的,environnemental
枪,arme à feu
星期,la semaine
野兔,lièvre
直到,jusqu'à
轻轻的,doucement
接线,câblage
队伍,contingent
痛苦,douloureux
牧羊人,berger
吹牛,vantardise
随和,facile à vivre
龙飞凤舞,flamboyant
握手,poignée de main
指甲,ongle
调整,ajusté
不相容,incompatible
蕾丝,dentelle
厌恶,dégoûtant
随着时间的推移,au fil du temps
抢劫,agressé
轻推,coup de coude
说服,persuader
花店,fleuriste
燕麦,L'avoine
表达,apparent
点燃,ignorer
天鹅,cygne
探索,explorer
禁止,admissible
晚安,Bonsoir
直接,franchise
有罪不罚,impunité
充足,ample
主张,proposition
火炬,torche
富裕,affluent
崇拜,vénération
失败,échec
羊肉,viande de mouton
树篱,haie
干燥,sécher
电子的,électronique
砂砾,grincer
缝,Coudre
给予,étant donné
即将到来的,imminent
摩擦,friction
克劳,poids
po,équilibre
净化,purifier
预约,rendez-vous
生长,croissance
依稀,vaguement
情况,situation
陶器,poterie
杂交种,hybride
订阅,abonnement
借,prêter
束缚,enchaîné
狮子,Lion
帝国,Empire
狗,chienchien
暖和,chaleureux
责备,faire des reproches
嘲笑,railler
操场,terrain de jeux
大风,grand vent
志向,ambition
体质,physique
传统的,traditionnel
易受伤害的,vulnérable
伴奏,accompagnement
交通,circulation
重新考虑,reconsidérer
培育,nourrir
邻居,Voisin
推特,Twitter
被驱逐出来,exclu
保护,protection
同情,sympathiser
忍不住,ancêtre
自由主义的,libéral
故事,conte
引用,citation
无聊的,ennuyeuse
蜜蜂,abeille
某个地方,quelque part
蓝色,bleu
包括,comprendre
公文包,mallette
舞蹈,Danse
惰性,inerte
警告,admonestation
严格的,strict
生物学,la biologie
麻烦,problèmes
喝,boire
cock,arrogant
决定性,décisif
才华横溢,talentueux
普遍的,universel
恳求,plaidoyer
爽快,gai
h,trépidant
比基尼,bikini
极性,polaire
驱逐出口,expulser
歌剧,opéra
设计,conception
教会,église
不可能,improbable
啦啦队员,Majorette
胶,gencive
明朗,lucidité
考试,examen
死亡,Fatalité
大大,très
多样性,la diversité
胎,pneu
贫困,dépourvu
信号,signal
冷冻,gelé
粉碎,pulvériser
不必要,inutile
城市的,Urbain
技能,compétence
可怕,terriblement
哈利,harry
续集,suite
黄铜,laiton
柔软的,"mou, tendre"
分手,rompre
计算器,calculatrice
意大利,Italie
企业,entreprise
福音,gospel
细雨,bruine
悄悄,tranquillement
耳机,casque de musique
登陆,atterrissage
分裂,scission
发誓,jurer
打字员,dactylographe
最终的,final
救恩,salut
意思,moyenne
局限,confiner
规定,prescrire
流感,grippe
确凿,concluant
日期,Date
丑闻,scandale
惩罚,punir
无效的,invalide
看,voir
ab,abonnement
最高,suprême
逗号,virgule
口音,accent
然后,alors
牧师,prêtre
一,une
冒险,aventure
引述,devis
复原,réhabilitation
修道院,monastère
工艺,artisanat
腰部,taille
恢复,reconquérir
拆除,démolir
十进制,décimal
会员资格,adhésion
眼影,le fard à paupières
明胶,gélatine
阻碍,entraver
吸引力,attraction
公平的,équitable
精加工,finition
慢跑,faire du jogging
翻盖,rabat
芯片,ébrécher
隔离,isolation
洗涤,la lessive
高级的,Sénior
踝,cheville
海鲜,Fruit de mer
山,monter
闪闪发光,pétillant
jud,judicieux
纪念,commémorer
刑事,criminel
虔诚,pieux
f,croc
热心,zélé
探索,visitation
目录,catalogue
洞察力,la perception
穿过,de l'autre côté
石膏,plâtre
电影,film
控诉,accuser
肖像,portrait
序列号,en série
小麦,blé
熟人,connaissance
破坏,épave
手推车,chariot
克里莱佛,voyant
内置,intégré
缩写,abréger
升级,améliorer
发情,rut
瘸,boiteux
安全,Sécurité
大陆,continental
枕头,oreiller
午餐,déjeuner
郊区的,de banlieue
威胁,menacer
pendulast,pendant
ZAP.,zap
孙子,petit fils
摆,pendule
下划线,débarquer
讨论,discuter
消散,se dissiper
蒙蒙,brumeux
寒意,froideur
眼镜,lunettes
热情好客,hospitalité
门,porte
强迫,forçage
洞穴,la grotte
采取,recours
夹钳,serrer
合伙,Partenariat
玉米,maïs
松弛,mou
口头,verbal
中央,central
李子,prune
凝视,regard
养育孩子,enfant d'accueil
火焰,flamber
捐赠者,donneur
润滑脂,graisse
w,méfiant
溢出,débordement
肾,un rein
胶合,collé
葬礼,funérailles
鼻孔,narine
拳头,poing
湿,humide
重铸,refonte
歌曲,chanson
弄湿,mouiller
具体的,spécifique
货币,devise
促进,renforcer
帕尔蒂,dérisoire
垤,fourmilière
院子,Cour
管辖权,juridiction
邀请,invoquer
参加,assister
幻影,fantôme
辐,parlait
最重要的,avant toute chose
之前,précédemment
物理,la physique
有毒的,toxique
棺材,cercueil
屑,miette
黄昏,tombée de la nuit
汉堡包,Burger
尺寸,Taille
肢,membre
巨大的,géant
中国人,Chinois
方向,direction
索赔,de mauvaise réputation
自信的,sur de soi
坑,fosse
反复,à plusieurs reprises
不合理,déraisonnable
耸人听闻,sensationnel
合并,fusionnement
退化,dégénérer
未婚妻,fiancée
铁路,chemin de fer
滚动,roulant
标题,légende
区域,régional
蝴蝶,papillon
黑,noirceur
芬奇,bouvreuil
武术,martial
针织,tricot
丧,deuil
庸俗,vulgaire
精确的,précis
袖子,manche
轻轻一点,doucement
无形的,invisible
历史,l'histoire
一元,convenable
赔率,chances
因此,Donc
赞许,approbation
调情,flirter
涉及,impliquant
惠而浦,tourbillon
直觉,pressentiment
得出结论,conclure
芜菁,navet
相机,caméra
烦躁,irritable
天上,céleste
罪行,infraction
千,mille
在下面,sous
情绪化,émotif
新月,croissant
十四,Quatorze
依靠,dépendre
岳父,beau-père
交易,transaction
省长,gouverneur
担心,s'inquiéter
普通的,Ordinaire
哈希,hacher
高度,altitude
补偿,récompense
预后,pronostic
解释,interprétation
改变,en changeant
栏杆,balustrade
欣赏,apprécier
我们,nous
否定,négation
即将到来,A venir
最后,finalement
得到,avoir
提示,des astuces
拉登,chargé
合作,la coopération
b,fléau
绳索,corde
怨恨,rancœur
dis,désaccord
好吧,bien
突然,soudain
极端主义者,ultra
圆筒,cylindre
rem,négligent
主题,thème
颗粒化,granulé
爽朗,copieux
背叛,trahir
评估,évaluer
连接,relier
毁灭,destruction
进攻,offensive
商品,marchandise
感情,affection
颅骨,le crâne
丰富,plénitude
痛苦,agonie
王牌,atout
撇去,parcourir
完美,la perfection
br,impétueux
平坦的,appartement
偶然,accidentel
长毛象,mammouth
查询,renseigner
坐着,séance
十分之一,décence
多,multi
矮人,nain
陈旧,vicié
寡头数,dépasser
每个,chaque
分段,fragment
周末,fin de semaine
烦恼,fidèle
贪婪的,cupide
选,élire
下,vers le bas
争议,contestation
四分卫,stratège
拥有,possession
激发,exciter
绝望的,désespéré
里程碑,Étape importante
哭,pleurs
昵称,surnom
陈词滥调,cliché
da,intrépide
仓库,dépôt
混乱,le chaos
柚子,pamplemousse
法令,décret
小龙虾,écrevisse
免疫,immunité
武装分子,militant
语,Langue
执事,diacre
吨,tonne
贪吃,gourmandise
网,engrener
冲洗,rincer
典型的,typique
高速公路,hotjack
上校,colonel
细心,attentif
政治,politique
临界点,seuil
减速,ralentir
起诉,poursuite
榛,noisette
主管,surveillant général
可信,sûr
无力,incapacité
病毒,virus
草地,pré
功能失调,dysfonctionnel
病,maladif
手写,écriture
热情的,passionné
鸽子,Colombe
Zomby.,zomby
英里,mile
义务,obligation
控制板,panneau
污点,entacher
锅,pot
人群,foule
贝克,beck
早晨,Matin
制造商,fabricant
观点,point
不可用,indisponible
起诉,poursuivre en justice
批准,ratification
her,héraut
j,jovial
趋向,tendre
游牧民族,nomade
傲慢,arrogance
幽灵,intrigue
欢呼,applaudissement
公开,publiquement
蜘蛛,araignée
最长,le plus long
短的,court
潜水,dévolution
人口,population
hy,trait d'union
律师,avocat
一扔,jeter
恼人的,énervant
悬念,le suspense
聪明,habileté
环境,circonstance
严格,rigueur
离间,aliéner
成立,fondé
舀,louche
反而,au lieu
哈欠,robuste
大多,principalement
研究,recherche
协议,protocole
出生,née
令人难以置信,incroyablement
露天,plein air
持续,continuel
撤防,désarmer
错开,échelonner
首都,Capitale
专业,spécialité
联系,lien
神秘,mystère
tem,tôle
沙哑,rauque
不鼓励,décourager
前,depuis
提前事后,après coup
h,Hector
步态,démarche
嘶,hennir
嘴,bouche
冲突,choc
纵传,convoité
可取,souhaitable
咂,claque
恶化,détériorer
p,maussade
骑,balade
赎回,lourd
斑点,tache
除此之外,une part
投注,pari
常规的,ordinaire
电缆,câble
可怜的,légitime
茶壶,théière
伯爵夫人,comtesse
罪行,infraction
fool,insensé
漂移,dérive
沉重,lourdeur
食客,mangeur
砍刀,hachoir
转弯,coincé
苗条,mince
终止,mettre fin
说谎者,menteur
美化,embellir
节省,enregistrer
打印,imprimer
反映,réfléchir
订阅,s'abonner
Quake.,tremblement de terre
哭泣,verser des larmes
聚光灯,projecteur
制服,uniforme
猎犬,chien
简洁,brièveté
简要地,brièvement
有形,tangible
庆祝,célébrer
潜艇,sous-marin
仁,bienveillance
he,inattentif
坐,asseoir
导流,dérivation
掌握,Maître
过敏,allergique
肥料,fumier
可接受的,acceptable
陪伴,accompagner
s,sank
数据库,base de données
百科全书,encyclopédie
努力,arriviste
腌制,Marinade
范围,portée
奴隶,trimer
缺乏经验,inexpérimenté
可选择的,sélectif
营养,nutrition
催眠曲,berceuse
ref,affiner
孤独,solitaire
公然,ouvertement
方言,dialecte
推动,promouvoir
精确的,exact
冗余,redondance
Twit.,crétin
痛苦,piquant
溅,éclabousser
学术的,académique
迟迟,tardif
脱水,déshydraté
注射,injection
向内的,vers l'intérieur
向前,effronté
强烈,fortement
卡车,un camion
头发,Cheveu
最大值,maximum
午餐时间,l'heure du déjeuner
养分,nutritif
钢笔,stylo
cl,habillé
信息,informations
有利,favorable
餐厅,restaurant
证书,certificat
温,tiède
决心,détermination
选择,sélectionner
辩论,débat
经理,directeur
扫描器,scanner
上,supérieur
pl,plonger
出院,déchargé
劈,hacher
下一个,Suivant
滴,goutte
娴熟,avancé
烹饪,cuisson
猜测,spéculation
也许,peut être
小丑,joker
Haberdashery.,mercerie
天线,aérien
难以忍受的,insupportable
理发,la Coupe de cheveux
无人机,drone
人类,humanité
谷,vallée
锁,fermer à clé
回收,recycler
苦难,misère
调查,enquêter
考试,examen
郁闷,déprimé
拒绝,refus
设计,concevoir
肥胖,obèse
别处,autre part
自动地,automatiquement
公寓,condo
信息,Info
爆发,éclater
谣言,rumeur
舒缓,apaisantes
自雇人士,travailleur indépendant
实践,s'entraîner
中性的,neutre
文本,texte
car,carié
证明,preuve
值得的,digne
以前的,précédent
咆哮,gronder
欺骗,tromper
扑打,écraser
消耗,épuiser
动画,animer
愚蠢的,idiot
最初的,initiale
较大,plus grand
恶魔,démon
害怕,peur
一致,correspondance
斗争,lutte
电话,Téléphone
灾难,catastrophe
马背,cheval
消费者,consommateur
兽性,bestialité
长方形,rectangle
焰火,feu d'artifice
妒忌,jalousie
进入,Entrer
祝贺,féliciter
座,piédestal
del,tromper
纺织品,textile
判断,jugement
家禽,la volaille
属性,attribut
宽容,vaste
观察者,observateur
填充,recharge
洞察力,aperçu
腰痛,mal au dos
孩子们,enfants
定罪,conviction
最糟糕的,pire
入店行窃,voleur
事务,affaire
表哥,cousine
给了,donné
授权,mandat
sl,nappe
减轻,soulager
比喻,parabole
估计,estimation
筏,radeau
胡椒,poivre
恐怖,la terreur
本质上,essentiellement
熟悉,connaissance
胎,pneu
预言,prédiction
青少年,adolescent
行为,acte
理想的,idéal
强迫措施,compulsion
飓风,ouragan
介绍,présenter
今晚,ce soir
l,se cacher
行进,Mars
pick,difficile
可怕,hideux
感觉,ressentir
共识,consensus
老板,chef
请,s'il te plaît
火箭,fusée
st,agrafe
形式,formalité
加载,charge
市场,marché
改革,réforme
深度,profondeur
snappy.,riverain
释放,décharge
搜集,la cueillette
邻近的,adjacent
必不可少的,vital
图形,graphique
曲棍球,le hockey
律师,avocat
犯,perpétrer
喷出,jet
化妆品,se réconcilier
以前的,ancien
渴望,mélancolique
ab,abjurer
无痛,sans douleur
褴褛,en lambeaux
歌词,paroles de chanson
普查,recensement
易于筋膜,irritable
别针,épingler
树枝,branche
罗盘,boussole
抱怨,plaindre
备用,sauvegarde
深刻的,profond
高兴极了,ravi
不准确,inexacte
菜花,choufleur
飞,mouche
书法,calligraphie
淬火,éteindre
蚊子,moustique
狂人,fou
收获,recueillir
体面的,décent
套衫,arrêtez-vous
车工,tourneur
英亩,acre
搏斗,lutter
墙纸,fond d'écran
不太可能,improbable
背景,Contexte
紧张的,nerveux
鸡,poulet
如何,comment
依恋,relent
一次性的,jetable
稠密,dense
之内,dans
希瑟,chauffage
出汗,transpirer
灰,cendre
贵妇人,dame
偏头痛,migraine
面对,orienté vers
下,inférieur
船,bateau
效率,Efficacité
干草,foins
骑士,Chevalier
Gleeful.,joyeux
骑术,équitation
纯度,pureté
大脑,cerveaux
弹道,balistique
中心,centre
ground,sans fondement
葬礼,enterrement
抗衡,combattre
强光,éblouissement
解剖刀,scalpel
傻子,tromper
睡着了,endormi
比赛,tournoi
贼,voleur
核桃,noyer
断言,affirmer
直的,droit
苦味,amertume
申请,appliquer
沟,tranchée
cr,fourrer
香水,parfum
氧化物,oxyde
进化,évolution
真的,vraiment
斤,grumeleux
法律顾问,Conseil
短跑运动员,sprinter
专注,concentration
取消,annulation
传单,prospectus
字典,dictionnaire
心烦意乱,éperdu
划分,cloison
情感,émotion
健康,sain
踪迹,Piste
污染,la pollution
危险,hasardeux
保护者,protecteur
填,remplir
恢复,se remettre
颤声,croche
勘探,exploration
rabble.,populace
堤,digue
协议,une entente
手帕,mouchoir
生产,fabrication
毗,adjoindre
无所畏惧,intrépide
冒号,côlon
牧师,prédicateur
选择,choix
违法,délinquant
不赞成,désapprobation
经过,par
不愿意,réluctance
怀疑,méfiance
勇敢,courageux
最新,à jour
你自己,vous-mêmes
脾气暴躁,grincheux
猩红,écarlate
雅博,abbé
警告,Attention
饥饿的,faim
豁免,exempter
豹,panthère
Fickle.,inconstant
部长,ministre
恐怖,horreur
le,méfiant
不祥的,sinistre
沉思,muse
刺客,assassin
独奏者,soliste
as,en morceaux
修正案,amendement
坛,autel
伙伴,copain
放弃,céder
想家,le mal du pays
冰雹,grêle
禁止,interdire
业主,propriétaire
耀斑,éclater
总计的,agrégat
提倡,avocat
门,portail
体育场,stade
代表,représenter
足够的,adéquat
不耐烦,impatience
竞争,rivaliser
温泉,spa
蝙蝠,chauve souris
arm,sans bras
更快,plus rapide
速度,rapidité
诅咒,malédiction
哨兵,sentinelle
牛油,Beurre
想像力,imagination
概念,notion
嘴唇,lèvres
有争议的,controversé
啮合,légère secousse
冷冷清清,triste
检查,examiner
潜水,plongée
飞行,en volant
瘟疫,la peste
行程,itinéraire
富于同情心,compatissant
分解,panne
大学,Université
幸福,joie
wh,battre
神圣,sacré
汽油,essence
小提琴,violon
酒,alcool
hug,extrêmement
低的,meugler
桦木,bouleau
不情愿的,réticent
威士忌酒,whisky
西,Ouest
作家,écrivain
宪法,constitutionnel
pl,plaider
优雅,chic
灯光,éclairage
膨胀,dilater
消极的,négatif
线,ligne
拧,tordre
塞尔西,corniche
斧头,hachette
集会,Assemblée
警告,avertir
表示,dénoter
季节,saison
服务员,préposé
过于,trop
后代,descendant
泵,pompe
压碎,écraser
不成熟,immature
查看,Chèque
内衣,sous-vêtement
众所周知,connu
地点,placer
冷藏,réfrigérer
高速公路,autoroute
他,il
兄弟会,fraternité
谷物,céréale
证明,attestation
钢,acier
绑架,enlèvement
感知,apercevoir
团体,grouper
舒适,sans confort
羽毛,la plume
持有者,titulaire
糖类,glucides
d,dûment
紊乱ETC,anomalie
住宅,Résidentiel
路障,barricade
南极道,antarctique
非人格,impersonnel
稳定,stabilité
吃,manger
她,elle
你,tu
可听,audible
轨道,orbite
护照,passeport
被高估,surfait
带领,mener
喧嚣,bousculer
检查,vérification
任何人,n'importe qui
包裹,emballer
扩张,expansion
诫命,commandement
无神,impie
宴会,banquet
珍爱,chérir
巨大的,énorme
公司的,d'entreprise
健康,aptitude
搜索,chercher
风险,risque
包裹,parcelle
帕蒂,petit pâté
与此同时,entre temps
围巾,foulard
激动,excitation
稗遗工,indiscret
空值,nul
孤,solitaire
富有成效,productif
互惠的,réciproque
雪橇,une luge
情人,amoureux
追求,poursuivre
蜂巢,ruche
史诗,épique
解雇,rejeter
同步,synchroniser
虚弱的,faible
戳,poussée
埋葬,enterrer
国家,pays
器具,appareil
码头,jetée
反对,anti
一体化,l'intégration
肉饼,Pain de viande
贪污,détournement de fonds
休息,du repos
强大,redoutable
呻吟,gémir
女王,reine
芥末,moutarde
奇怪的是,étrangement
喜,plaisir
滑雪,ski
编码,encoder
说,dire
潮湿,humide
竞技场,arène
心,cœur
尼姑,religieuse
可能性,probabilité
标枪,javelot
仙女,Fée
认出,reconnaître
待办的,en attendant
不自主,involontaire
断言的,sûr de soi
射箭,tir à l'arc
道德,moralité
重点,accent
成功,Succès
棱角,angulaire
消耗,consommer
赤脚,pieds nus
打,frappé
研究,recherche
凶手,meurtrier
赤字,déficit
官方的,officiel
撤消,annuler
制造,promulguer
梵文,tyran
调整,régler
标记,marqueur
英国人,Britanique
存在,existence
琐碎的,banal
解决,résolution
抚慰,apaiser
文学,Littérature
丰满,dodu
趋势,tendance
雪,neiger
流浪汉,clochard
乌木,ébène
习惯,habitude
副,vice
思维,pensée
深的,Profond
估计,croire
海量,magnanimité
概括,généralisation
题,inscrire
飞行,voler
很多,beaucoup
重新团结,réuni
颞,temporel
争吵,cliquetis
重的,lourd
首脑,sommet
允许,permissif
女士,Madame
升,litre
名声,la célébrité
在哪里,où
婚姻,mariage
不朽,immortalité
胆小,timide
皮带,laisse
性欲,sexualité
学费,frais de scolarité
天气,conditions météorologiques
分离,séparé
节制,abstinence
争吵,dispute
肺炎,pneumonie
有价值的,de valeur
眨,cligner
多莉,chariot
勇气,courage
衣柜,garde-robe
猿,singe
喇叭,Corne
用过的,utilisé
离岸,offshore
先天,inné
女士,femme
驳斥,réfutation
更强,plus forte
北极,Arctique
教堂,chapelle
迅速,rapide
襶,désordonné
炫,éblouir
合作,coopérative
资源,Ressource
品尝,dégustation
icky.,Icky
牧师,pasteur
米德兰,Midland
狡猾的,rusé
中场休息,Mi-temps
机械的,mécanique
毒蛇,vipère
怀疑,soupçon
装饰品,ornement
雇用,employé
自私,égoïste
折腾,lancer
直接的,direct
难的,difficile
复杂复杂,compliquer
泻湖,lagune
绳索,corde
少女,jeune fille
要求,demande
导师,tuteur
买,acheter
弹跳,rebondir
武断,sans causer
难以进入,inaccessible
不可思议,étonnant
燧石,silex
史密斯,forgeron
不,non
词汇,vocabulaire
可亲,aimable
坚定,étancher
数学,mathématiques
鱼片,filet
重要性,importance
圣餐,sacrement
移民,migration
不征服,sans invitation
无价,inestimable
治愈,guérir
杯,trophée
操舵,pilotage
刑事,pénal
冻结,gelé
腐败,la corruption
碘,iode
敌意,hostilité
流感,grippe
废除,abolition
工作,travail
大理石,marbre
铛,bruit
尖叫,hurler
唠叨,tenace
条纹,traînée
经纪人,courtier
他们自己,eux-mêmes
根深蒂固的,profond
对比,contraste
装饰,garnir
炸弹,bombe
安全的,sécurise
韦弗,tisserand
m,mutiler
牧师,pasteur
楼梯间,cage d'escalier
柳,saule
惊奇,étonner
耳垂,tort
对面的,contraire
挲,caresser
安静,silence
内容,teneur
碰撞,crash
路面,chaussée
杂草,cannabis
重印,réimpression
开释,acquitter
优秀,excellent
不可能,impossibilité
码头,quai
沃克,marcheur
甘菊,camomille
反叛,rebelle
一世,je
bl,bêler
学习,étudier
水手,marin
邀请,invitation
所以,donc
托斯,tangade
劈开,fendre
表示,représentation
理智,santé mentale
联邦,Commonwealth
孤子,solitaire
蒸馏,distiller
放纵,se livrer à
一群,essaim
可恶的,méchant
第九,neuvième
经常,souvent
糖尿病,diabète
科隆,eau de Cologne
奉承,flatterie
机智,spirituel
大气层,atmosphère
驾驶,véhémence
看,voir
浸渍,plongement
纪念,souvenir
威化饼,gaufres
狠,sans relâche
钦佩,admiration
困扰,hanté
动物,animal
恶魔,démon
闩锁,loquet
空虚,vide
捆绑,attachement
优选地,de préférence
真正的,authentique
现象,phénomène
楼梯,escalier
交响乐,symphonie
文盲,analphabète
地铁,métro
鸟,oiseau
开幕式,ouverture
推荐,recommandation
推进,propulser
倾斜,inclinaison
明显的,évident
磅,broyer
特别,particulièrement
医务室,infirmerie
沼泽,tourbière
休会,ajourner
垂直的,verticale
画画,dessin
无疑,indubitablement
短跑,tiret
钓鱼,faire de la pêche
最大,maximum
聪明的,intelligent
组织,organiser
示范,manifestation
寻求,recherché
最小化,minimiser
畦,sillon
绝望,désespoir
揭示了,révélateur
高潮,Climax
阳光,ensoleillement
海关,douane
透明的,transparent
占主导地位,prédominant
塔,la tour
商人,marchande
粗,grossier
迂回,rond point
清楚地,clairement
喝酒,buvait
理解,compréhension
有雾的,brumeux
有趣的,intéressant
介绍,présentation
有色,coloré
豆角，扁豆,haricot
珍珠,perle
自愿,volontairement
身份,identité
初学者,égoïste
足球,football
探测器,détecteur
嘲笑,ridicule
异常,inhabituel
自制,fatal
肸,parsemer
文学,littéraire
软木,Liège
伤口,blesser
其他,un autre
