English,French,Chinese,Pingying,Spanish,German
moody,de mauvaise humeur,喜怒无常,xǐ nù wú cháng,temperamental,launisch
indulge,se faire plaisir,放纵,fàng zòng,complacer,hingeben
horribly,horriblement,可怕的,kě pà de,terriblemente,entsetzlich
expand,développer,扩张,kuo zhāng,expandir,expandieren
dialogue,dialogue,对话,duì huà,diálogo,dialog
adventurous,aventureux,冒险的,mòu xiǎn de,aventurero,abenteuerlustig
violin,violon,小提琴,xiǎo tí qín,violín,violine
suffice,suffire,够了,gòu le,satisfacer,genügen
oatmeal,gruau,麦片,mài piàn,avena,haferflocken
midst,milieu,中间,zhōng jiān,medio,mitte
maiden,jeune fille,少女,shǎo nǚ,doncella,mädchen
damaging,dommageable,破坏,po pī,perjudicial,schädlich
boredom,ennui,无聊,wú liáo,aburrimiento,langeweile
sunglasses,des lunettes de soleil,太阳镜,tài yáng jìng,gafas de sol,sonnenbrille
prognosis,pronostic,预后,yù hòu,pronóstico,prognose
molecular,moléculaire,分子,fēn zǐ,molecular,molekular
hazel,noisette,榛,zhēn,color avellana,hasel
striking,frappant,引人注目,yǐn rén zhù mù,sorprendentes,auffallend
ripe,mûr,成熟,chéng shóu,maduro,reif
plumber,plombier,水管工,shuǐ guǎn gōng,plomero,klempner
newborn,nouveau née,新生,xīn shēng,recién nacido,neugeborenes
swift,rapide,迅速,xùn sù,rápido,schnell
speculation,spéculation,投机,tóu jī,especulación,spekulation
rewrite,récrire,改写,gǎi xiě,volver a escribir,umschreiben
handicapped,handicapé,残障人士,cán zhàng rén shì,minusválido,behindert
dishonest,malhonnête,不诚实,bù chéng shí,deshonesto,unehrlich
amusement,amusement,娱乐,yú yuè,diversión,amüsement
unborn,à naître,未出生的,wèi chū shēng de,no nacido,ungeborene
toaster,grille-pain,烤面包机,kǎo miàn bāo jī,tostadora,toaster
sew,coudre,缝,féng,coser,nähen
radioactive,radioactif,放射性,fàng shè xìng,radioactivo,radioaktiv
questionable,discutable,可疑的,kě yí de,cuestionable,fraglich
overlook,négliger,俯瞰,fǔ kàn,pasar por alto,übersehen
underpants,slip,内裤,nèi kù,calzoncillos,unterhose
stool,tabouret,凳子,dèng zǐ,heces,schemel
platinum,platine,铂,bó,platino,platin
nightclub,boîte de nuit,夜店,yè diàn,club nocturno,nachtclub
minority,minorité,少数民族,shǎo shù mín zú,minoría,minderheit
divided,divisé,分为,fēn wèi,dividido,geteilt
dangerously,dangereusement,危险地,wēi xiǎn dì,peligrosamente,gefährlich
considerable,considérable,大量,dà liàng,considerable,beträchtlich
tuition,frais de scolarité,学费,xué fèi,matrícula,unterricht
godmother,marraine,教母,jiào mǔ,madrina,patin
crude,brut,原油,yuán yóu,crudo,roh
criticize,critiquer,批评,pī píng,criticar,kritisieren
whichever,quel que soit,任何,rèn hé,cualquiera,was auch immer
correction,correction,更正,gèng zhèng,corrección,korrektur
incentive,motivation,激励,jī lì,incentivo,anreiz
yogurt,yaourt,酸奶,suān nǎi,yogur,joghurt
submarine,sous-marin,潜艇,qián tǐng,submarino,u-boot
startle,surprendre,惊吓,liáng xià,asustar,erschrecken
interpretation,interprétation,解释,jiě shì,interpretación,interpretation
ingoing,entrant,正在进行,zhèng zài jìn xíng,entrante,eingehend
enchant,enchanter,附魔,fù mó,encantar,verzaubern
conservative,conservateur,保守的,bǎo shǒu de,conservador,konservativ
bandage,bandage,绷带,bēng dài,vendaje,binde
awareness,sensibilisation,意识,yì shì,conciencia,bewusstsein
supervision,surveillance,监督,jiān dū,supervisión,aufsicht
sedate,calme,稳重,wěn zhòng,sosegado,sedieren
marker,marqueur,标记,biāo jì,marcador,marker
brainwash,lavage de cerveau,洗脑,xǐ nǎo,lavar el cerebro,gehirnwäsche
adamant,catégorique,固执的,gù zhí de,firme,unnachgiebig
uncommon,rare,罕见,hǎn jiàn,poco común,ungewöhnlich
medieval,médiéval,中世纪,zhōng shì jì,medieval,mittelalterlich
maturity,maturité,到期,dào qí,madurez,reife
maternity,maternité,产妇,chǎn fù,maternidad,mutterschaft
marinade,marinade,腌料,ān liào,escabeche,marinade
candid,candide,坦率,tǎn lǜ,sincero,offen
snore,ronfler,鼾,hān,ronquido,schnarchen
sneeze,éternuement,喷嚏,pēn tì,estornudo,niesen
smuggle,passer en contrebande,走私,zǒu sī,hacer contrabando,schmuggeln
salty,salé,咸,xián,salado,salzig
morbid,morbide,病态的,bìng tài de,mórbido,morbid
licence,licence,执照,zhí zhào,licencia,lizenz
defenceless,sans défense,毫无防备的,háo wú fáng bèi de,indefenso,wehrlos
cradle,berceau,摇篮,yáo lán,cuna,wiege
booking,réservation,预订,yù dìng,reserva,buchung
traumatize,traumatiser,创伤,chuàng shāng,traumatizar,traumatisieren
muddy,boueux,浑,hún,lodoso,schlammig
grapefruit,pamplemousse,柚子,yòu zǐ,pomelo,grapefruit
bossy,autoritaire,专横的,zhuān héng de,mandón,dominant
bacteria,bactéries,细菌,xì jùn,bacterias,bakterien
speechless,sans voix,无语,wú yǔ,sin palabras,sprachlos
parachute,parachute,降落伞,jiàng luo sǎn,paracaídas,fallschirm
cremate,incinérer,火化,huǒ huà,incinerar,verbrennen
transaction,transaction,交易,jiāo yì,transacción,transaktion
polar,polaire,极性,jí xìng,polar,polar-
intrude,s'immiscer,侵入,qīn rù,entrometerse,eindringen
ignorance,ignorance,无知,wú zhī,ignorancia,ignoranz
handyman,bricoleur,勤杂工,qín zá gōng,personal de mantenimiento,heimwerker
greens,légumes verts,青菜,qīng cài,verduras,grüns
diabete,diabète,糖尿病,táng niào bìng,diabético,diabetes
constitutional,constitutionnel,宪法,xiàn fǎ,constitucional,verfassungsmäßig
pronoun,pronom,代词,dài cí,pronombre,pronomen
pottery,poterie,陶器,táo qì,cerámica,keramik
obscene,obscène,猥亵,wěi xiè,obsceno,obszön
induce,induire,诱导,yòu dǎo,inducir,induzieren
immigration,immigration,移民,yí mín,inmigración,einwanderung
elevate,élever,提升,tí shēng,elevar,erheben
disable,désactiver,禁用,jìn yòng,desactivar,deaktivieren
crust,croûte,脆皮,cuì pí,corteza,kruste
conductor,conducteur,导体,dǎo tǐ,conductor,dirigent
assessment,évaluation,评估,píng gū,evaluación,bewertung
withdrawal,retrait,退出,tuì chū,retiro,rückzug
undone,défait,撤销,chè xiāo,deshecho,rückgängig gemacht
symptom,symptôme,症状,zhèng zhuàng,síntoma,symptom
mascara,mascara,睫毛膏,jié máo gāo,máscara,maskara
iceberg,iceberg,冰山,bīng shān,iceberg,eisberg
convert,convertir,转变,zhuǎn biàn,convertir,konvertieren
complicate,compliquer,复杂的,fù zá de,complicar,komplizieren
combine,combiner,结合,jié hé,combinar,kombinieren
transformation,transformation,转型,zhuǎn xíng,transformación,transformation
telescope,télescope,望远镜,wàng yuǎn jìng,telescopio,fernrohr
stumble,trébucher,绊倒,bàn dǎo,tropezón,stolpern
saliva,salive,唾液,tuo yè,saliva,speichel
robber,voleur,强盗,qiáng dào,ladrón,räuber
reconnect,reconnecter,重新连接,zhòng xīn lián jiē,reconectarse,wieder verbinden
irregular,irrégulier,不规律的,bù guī lǜ de,irregular,irregulär
invalid,invalide,无效的,wú xiào de,inválido,ungültig
evict,expulser,驱逐,qū zhú,desalojar,vertreiben
diver,plongeur,潜水员,qián shuǐ yuán,buzo,taucher
cushion,coussin,软垫,ruǎn diàn,amortiguar,kissen
rhyme,rime,韵,yùn,rima,reim
phenomenon,phénomène,现象,xiàn xiàng,fenómeno,phänomen
motherhood,maternité,母性,mǔ xìng,maternidad,mutterschaft
migraine,migraine,偏头痛,piān tóu tòng,migraña,migräne
frosty,glacial,冰冷的,bīng lěng de,escarchado,eisig
friction,friction,摩擦,mó cā,fricción,reibung
aspect,aspect,方面,fāng miàn,aspecto,aspekt
aggression,agression,侵略,qīn l//v//è,agresión,aggression
abusive,injurieux,辱骂,rù mà,abusivo,gewalttätig
trivial,banal,琐碎的,suǒ suì de,trivial,trivial
tenant,locataire,租户,zū hù,inquilino,mieter
supervise,superviser,监督,jiān dū,supervisar,überwachen
superstitious,superstitieux,迷信,mí xìn,supersticioso,abergläubisch
statistics,statistiques,统计数据,tǒng jì shù jù,estadísticas,statistiken
homemade,fait maison,自制,zì zhì,hecho en casa,hausgemacht
glamour,charme,魅力,mèi lì,glamour,glanz
disoriented,désorienté,迷失方向,mí shī fāng xiàng,desorientado,desorientiert
crossroad,carrefour,十字路口,shí zì lù kǒu,cruce de caminos,kreuzung
assurance,assurance,保证,bǎo zhèng,garantía,sicherheit
thesis,thèse,论文,lùn wén,tesis,these
terrorism,terrorisme,恐怖主义,kǒng bù zhǔ yì,terrorismo,terrorismus
respectfully,avec respect,尊敬,zūn jìng,respetuosamente,respektvoll
painkiller,anti douleur,止痛药,zhǐ tòng yào,analgésico,schmerzmittel
intellect,intellect,智力,zhì lì,intelecto,intellekt
dole,aumône,都乐,dū yuè,limosna,dole
amuse,amuser,逗乐,dòu yuè,entretener,amüsieren
alienate,aliéner,离间,chī jiān,enajenar,entfremden
unwanted,indésirable,不需要的,bù xū yào de,no deseado,unerwünscht
soften,adoucir,软化,ruǎn huà,ablandar,erweichen
plaster,plâtre,石膏,shí gāo,yeso,gips
insomnia,insomnie,失眠,shī mián,insomnio,schlaflosigkeit
fume,fumée,烟,yān,humo,rauch
foremost,avant toute chose,首先,shǒu xiān,principal,in erster linie
deviate,dévier,偏离,piān chī,desviarse,abweichen
crave,avoir très envie de,渴望,kě wàng,pedir,sich sehnen
craft,artisanat,工艺,gōng yì,artesanía,handwerk
conceal,cacher,隐藏,yǐn cáng,encubrir,verheimlichen
abdomen,abdomen,腹部,fù bù,abdomen,abdomen
toenail,ongle,趾甲,zhǐ jiǎ,uña del dedo del pie,zehennagel
organism,organisme,生物,shēng wù,organismo,organismus
incapable,incapable,无法,wú fǎ,incapaz,unfähig
fade,disparaître,褪色,tùn sè,desvanecerse,verblassen
erotic,érotique,色情,sè qíng,erótico,erotisch
dwelling,logement,住宅,zhù zhái,vivienda,wohnung
calory,calories,卡路里,qiǎ lù lǐ,caloría,kalorien
breathtaking,stupéfiant,惊险,liáng xiǎn,asombroso,atemberaubend
unattractive,peu attrayant,没有吸引力,méi yǒu xī yǐn lì,no atractivo,unattraktiv
representative,représentant,代表,dài biǎo,representante,vertreter
residential,résidentiel,住宅,zhù zhái,residencial,wohn
resignation,démission,辞职,cí zhí,resignación,rücktritt
substantial,substantiel,重大的,zhòng dà de,sustancial,erheblich
agricultural,agricole,农业,nóng yè,agrícola,landwirtschaftlich
arbitrary,arbitraire,随意的,suí yì de,arbitrario,willkürlich
damp,humide,潮湿,cháo shī,húmedo,dämpfen
detached,détaché,分离的,fēn chī de,separado,löste sich
dictator,dictateur,独裁者,dú cái zhě,dictador,diktator
digestion,digestion,消化,xiāo huà,digestión,verdauung
discourage,décourager,不鼓励,bù gǔ lì,desalentar,entmutigen
discrimination,discrimination,歧视,qí shì,discriminación,diskriminierung
disgraceful,honteux,可耻,kě chǐ,vergonzoso,schändlich
disguise,déguisement,伪装,wěi zhuāng,ocultar,verkleidung
disorganized,désorganisé,杂乱无章,zá luàn wú zhāng,desestructurado,desorganisiert
diversity,la diversité,多样性,duō yáng xìng,diversidad,diversität
download,télécharger,下载,xià zài,descargar,herunterladen
compensate,compenser,补偿,bǔ cháng,compensar,kompensieren
competence,compétence,权限,quán xiàn,competencia,kompetenz
earnest,sérieux,认真,rèn zhēn,serio,ernst
eclipse,éclipse,蚀,shí,eclipse,finsternis
economical,économique,经济,jīng jì,económico,wirtschaftlich
elastic,élastique,松紧带,sōng jǐn dài,elástico,elastisch
electronics,électronique,电子产品,diàn zǐ chǎn pǐn,electrónica,elektronik
embargo,embargo,禁运,jìn yùn,embargo,embargo
encyclopaedia,encyclopédie,百科全书,bǎi kē quán shū,enciclopedia,enzyklopädie
energetic,énergique,精力充沛,jīng lì chōng pèi,enérgico,energisch
enjoyment,jouissance,享受,xiǎng shòu,disfrute,vergnügen
enlargement,élargissement,放大,fàng dà,ampliación,erweiterung
envious,envieux,羡慕,xiàn mù,envidioso,neidisch
equator,équateur,赤道,chì dào,ecuador,äquator
erect,ériger,直立,zhí lì,erguido,aufrecht
expenditure,dépense,支出,zhī chū,gasto,ausgaben
eyelid,paupière,眼皮,yǎn pí,párpado,augenlid
farsighted,hypermétrope,睿,ruì,hipermétrope,weitsichtig
feminist,féministe,女权主义者,nǚ quán zhǔ yì zhě,feminista,feminist
forfeit,déclarer forfait,丧失,sāng shī,perder,verlieren
fort,fort,堡,bǎo,fuerte,fort
furthermore,en outre,此外,cǐ wài,es más,außerdem
futile,futile,徒劳的,tú láo de,fútil,zwecklos
hazardous,hasardeux,危险的,wēi xiǎn de,peligroso,gefährlich
immortality,immortalité,不朽,bù xiǔ,inmortalidad,unsterblichkeit
initially,initialement,最初,zuì chū,inicialmente,anfänglich
intricate,complexe,错综复杂,cuo zòng fù zá,intrincado,kompliziert
juvenile,juvénile,少年,shǎo nián,juvenil,jugendlich
kaleidoscope,kaléidoscope,万花筒,mo huā tǒng,caleidoscopio,kaleidoskop
magnify,amplifier,放大,fàng dà,aumentar,vergrößern
miscellaneous,divers,各种各样的,gè chóng gè yáng de,diverso,sonstiges
momentary,momentané,瞬间,shùn jiān,momentáneo,momentan
mutter,murmurer,喃喃自语,nán nán zì yǔ,murmurar,murmeln
nylon,nylon,尼龙,ní lóng,nylon,nylon
oar,rame,桨,jiǎng,remo,ruder
orient,orient,东方,dōng fāng,orientar,orient
ornament,ornement,装饰品,zhuāng shì pǐn,ornamento,ornament
oxen,boeufs,牛,niú,bueyes,ochsen
oyster,huître,牡蛎,mǔ lì,ostra,auster
parasol,parasol,阳伞,yáng sǎn,sombrilla,sonnenschirm
pasture,pâturage,牧场,mù cháng,pastar,weide
pioneer,pionnier,先锋,xiān fēng,pionero,pionier
playful,espiègle,俏皮的,qiào pí de,juguetón,spielerisch
poisonous,toxique,有毒,yǒu dú,venenoso,giftig
practitioner,praticien,从业者,cóng yè zhě,facultativo,praktiker
precision,précision,精确,jīng què,precisión,präzision
prefix,préfixe,字首,zì shǒu,prefijo,präfix
prestige,prestige,声望,shēng wàng,prestigio,prestige
punctuation,ponctuation,标点,biāo diǎn,puntuación,interpunktion
quarrel,querelle,吵架,chǎo jià,pelea,streit
raffle,tombola,抽奖,chōu jiǎng,rifa,verlosen
rationalize,rationaliser,合理化,hé lǐ huà,racionalizar,rationalisieren
relay,relais,中继,zhōng jì,relé,relais
rim,jante,轮缘,lún yuán,borde,rand
rugby,le rugby,橄榄球,gǎn lǎn qiú,rugby,rugby
scallop,coquille,扇贝,shàn bèi,vieira,jakobsmuschel
spank,donner une fessée à,打屁股,dǎ pì gǔ,azotar,versohlen
specialize,spécialiser,专精,zhuān jīng,especializarse,spezialisieren
stereotype,stéréotype,刻板印象,kè bǎn yìn xiàng,estereotipo,stereotyp
complement,complément,补充,bǔ chōng,complemento,ergänzen
completely,complètement,完全地,wán quán dì,completamente,ganz und gar
completion,achèvement,完成,wán chéng,terminación,fertigstellung
complimentary,gratuit,免费,miǎn fèi,complementario,kostenlos
component,composant,成分,chéng fēn,componente,komponente
composition,composition,作品,zuo pǐn,composición,komposition
comprehension,compréhension,理解,lǐ jiě,comprensión,verständnis
conceited,vaniteux,自负,zì fù,engreído,eingebildet
connoisseur,connaisseur,行家,xíng jiā,conocedor,kenner
consequently,par conséquent,最后,zuì hòu,como consecuencia,folglich
conservation,préservation,保护,bǎo hù,conservación,erhaltung
considerably,considérablement,相当,xiāng dāng,importantemente,wesentlich
consistency,cohérence,一致性,yī zhì xìng,consistencia,konsistenz
consonant,consonne,辅音,fǔ yīn,consonante,konsonant
conspicuous,visible,显眼的,xiǎn yǎn de,conspicuo,auffällig
constitute,constituer,构成,gōu chéng,constituir,bilden
consumer,consommateur,消费者,xiāo fèi zhě,consumidor,verbraucher
consumption,consommation,消耗,xiāo hào,consumo,verbrauch
contemplate,contempler,沉思,chén sī,contemplar,betrachten
contemporary,contemporain,当代的,dāng dài de,contemporáneo,zeitgenössisch
contented,content,满足,mǎn zú,contento,zufrieden
continuous,continu,连续,lián xù,continuo,kontinuierlich
contradict,contredire,顶撞,dǐng zhuàng,contradecir,widersprechen
contradiction,contradiction,矛盾,máo dùn,contradicción,widerspruch
contrast,contraste,对比,duì bǐ,contraste,kontrast
controversial,controversé,有争议的,yǒu zhēng yì de,polémico,umstritten
controversy,controverse,争议,zhēng yì,controversia,kontroverse
conventional,conventionnel,传统的,chuán tǒng de,convencional,konventionell
copier,photocopieuse,复印机,fù yìn jī,copiador,kopierer
cosmopolitan,cosmopolite,大都会,dà dū huì,cosmopolita,kosmopolitisch
counterfeit,contrefaire,伪造,wěi zào,falsificación,fälschen
countryside,la campagne,农村,nóng cūn,campo,landschaft
cram,fourrer,补习班,bǔ xí bān,atestar,stopfen
crayon,crayon,蜡笔,zhà bǐ,lápiz de color,wachsmalstift
cricket,criquet,蟋蟀,xī shuài,grillo,kricket
cube,cube,立方体,lì fāng tǐ,cubo,würfel
cue,signal,提示,tí shì,señal,stichwort
culprit,coupable,罪魁祸首,zuì kuí huo shǒu,culpable,schuldiger
cupboard,armoire,橱柜,chú jǔ,alacena,schrank
curriculum,programme d'études,课程,kè chéng,plan de estudios,lehrplan
customs,douane,海关,hǎi guān,costumbres,zoll
cylinder,cylindre,圆筒,yuán tǒng,cilindro,zylinder
interim,intérimaire,临时,lín shí,provisional,zwischenzeitlich
locum,suppléant,位置,wèi zhì,sustituto,stellvertreter
stride,foulée,大步,dà bù,paso,schreiten
subjective,subjectif,主观,zhǔ guān,subjetivo,subjektiv
submission,soumission,提交,tí jiāo,sumisión,vorlage
subordinate,subalterne,下属,xià shǔ,subordinar,untergeordnet
subscription,abonnement,订阅,dìng yuè,suscripción,abonnement
subtract,soustraire,减去,jiǎn qù,sustraer,subtrahieren
suburb,banlieue,市郊,shì jiāo,suburbio,vorort
supplement,supplément,补充,bǔ chōng,suplemento,ergänzung
supporter,supporter,支持者,zhī chí zhě,seguidor,fan
swimsuit,maillot de bain,泳装,yǒng zhuāng,traje de baño,badeanzug
syllable,syllabe,音节,yīn jié,sílaba,silbe
syllabus,programme,教学大纲,jiào xué dà gāng,silaba,lehrplan
abbreviate,abréger,缩写,suō xiě,abreviar,abkürzen
abode,demeure,住处,zhù chù,morada,aufenthalt
abolish,abolir,废除,fèi chú,abolir,abschaffen
abound,abonder,盛产,shèng chǎn,abundar,reichlich
abrupt,brusque,突然,tú rán,abrupto,abrupt
abstinence,abstinence,节制,jié zhì,abstinencia,abstinenz
accommodate,accommoder,容纳,róng nà,acomodar,unterbringen
accord,accord,符合,fú hé,acuerdo,übereinstimmung
accumulate,accumuler,积累,jī lèi,acumular,akkumulieren
accustom,habituer,习惯,xí guàn,acostumbrar,gewöhnen
acquaint,informer,相识,xiāng shì,familiarizar,kennen
adhere,adhérer,坚持,jiān chí,adherirse,haften
adjective,adjectif,形容词,xíng róng cí,adjetivo,adjektiv
administer,administrer,管理,guǎn lǐ,administrar,verwalten
admissible,admissible,可受理,kě shòu lǐ,admisible,zulässig
adverb,adverbe,副词,fù cí,adverbio,adverb
adversary,adversaire,对手,duì shǒu,adversario,gegner
affability,affabilité,亲切,qīn qiē,afabilidad,freundlichkeit
affirm,affirmer,确认,què rèn,afirmar,bestätigen
agrarian,agraire,农业的,nóng yè de,agrario,landwirtschaftlich
walnut,noyer,核桃,hé táo,nuez,nussbaum
wary,méfiant,警惕,jǐng tì,cauteloso,vorsichtig
watery,aqueux,水汪汪的,shuǐ wāng wāng de,acuoso,wässrig
wharf,quai,码头,mǎ tóu,muelle,kai
whirl,tourbillon,旋转,xuán zhuǎn,giro,wirbeln
wholly,entièrement,完全,wán quán,totalmente,ganz
wilful,délibéré,任性的,rèn xìng de,deliberado,vorsätzlich
willingness,volonté,愿意,yuàn yì,disponibilidad,bereitschaft
wireless,sans fil,无线的,wú xiàn de,inalámbrico,kabellos
withhold,retenir,扣压,kòu yā,retener,zurückhalten
wrangle,dispute,争吵,zhēng chǎo,reñir a,streiten
wring,tordre,拧,níng,exprimir,wringen
vaccination,vaccination,接种疫苗,jiē chóng yì miáo,vacunación,impfung
vandalism,vandalisme,故意破坏,gù yì po pī,vandalismo,vandalismus
vapour,vapeur,汽,qì,vapor,dampf
varnish,vernis,漆,qī,barniz,lack
velocity,rapidité,速度,sù dù,velocidad,geschwindigkeit
venison,venaison,鹿肉,lù ròu,venado,wild
venomous,venimeux,有毒,yǒu dú,venenoso,giftig
verification,vérification,确认,què rèn,verificación,überprüfung
versatile,polyvalent,多才多艺的,duō cái duō yì de,versátil,vielseitig
vestige,vestige,痕迹,hén jī,vestigio,spur
vibrate,vibrer,颤动,zhàn dòng,vibrar,vibrieren
vigilance,vigilance,警觉,jǐng jué,vigilancia,wachsamkeit
vigorous,vigoureux,蓬勃,péng bó,vigoroso,kräftig
visibility,visibilité,能见度,néng jiàn dù,visibilidad,sichtweite
vogue,vogue,时尚,shí shàng,moda,mode
volleyball,volley-ball,排球,pái qiú,vóleibol,volleyball
vulgar,vulgaire,庸俗,yōng sú,vulgar,vulgär
vulture,vautour,秃鹫,tū jiù,buitre,geier
ulcer,ulcère,溃疡,kuì yáng,úlcera,geschwür
unaccustomed,inhabituel,不习惯,bù xí guàn,no acostumbrado,ungewohnt
unavoidable,inévitable,不可避免,bù kě bì miǎn,inevitable,unvermeidlich
unaware,ignorant,不知道,bù zhī dào,inconsciente,nicht bewusst
unbutton,déboutonner,解开,jiě kāi,desabotonar,aufknöpfen
unchanged,inchangé,不变,bù biàn,sin alterar,unverändert
undeniable,indéniable,不可否认,bù kě fǒu rèn,innegable,unbestreitbar
unequal,inégal,不等,bù děng,desigual,ungleich
uneven,inégal,不均匀的,bù jūn yún de,desigual,ungleichmäßig
unfamiliar,inconnu,陌生,mo shēng,desconocido,unbekannt
unfriendly,hostile,不友好,bù yǒu hǎo,hostil,unfreundlich
unjust,injuste,不公正,bù gōng zhèng,injusto,ungerecht
unkind,méchant,刻薄,kè bó,cruel,unfreundlich
unruly,indiscipliné,不羁,bù jī,revoltoso,widerspenstig
unrest,troubles,动荡,dòng dàng,agitación,unruhe
unsettled,instable,不安的,bù ān de,inestable,verunsichert
unskilful,maladroit,不熟练,bù shóu liàn,inexperto,ungeschickt
untidy,désordonné,襶,dài,desordenado,unordentlich
unworthy,indigne,不配,bù pèi,indigno de,unwürdig
upbrining,éducation,教养,jiào yǎng,crianza,erziehung
uphill,montée,上坡,shàng pō,cuesta arriba,bergauf
uprising,soulèvement,起义,qǐ yì,levantamiento,aufstand
usage,usage,用法,yòng fǎ,uso,verwendungszweck
utmost,maximum,极,jí,mayor,äußerstes
tack,clouer,钉,dīng,virar,heftzwecke
tangible,tangible,有形,yǒu xíng,tangible,greifbar
tariff,tarif,关税,guān shuì,arancel,tarif
tea-pot,théière,茶壶,chá hú,tetera,teekanne
teaspoon,cuillère à café,茶匙,chá chí,cucharilla,teelöffel
tedious,fastidieux,乏味,fá wèi,tedioso,langweilig
teem,équipe,涌出,yǒng chū,abundar,wimmeln
temporal,temporel,颞,niè,temporal,zeitlich
tendon,tendon,肌腱,jī jiàn,tendón,sehne
testament,testament,遗嘱,yí zhǔ,testamento,testament
test-tube,tube à essai,试管,shì guǎn,tubo de ensayo,reagenzglas
textile,textile,纺织品,fǎng zhī pǐn,textil,textil-
text-message,message texte,短信,duǎn xìn,mensaje de texto,textnachricht
theological,théologique,神学的,shén xué de,teológico,theologische
thought,pensée,想法,xiǎng fǎ,pensamiento,gedanke
threshold,seuil,临界点,lín jiè diǎn,umbral,schwelle
thrift,épargne,节约,jié yuē,ahorro,sparsamkeit
timid,timide,胆小,dǎn xiǎo,tímido,schüchtern
tint,teinte,着色,zháo sè,tinte,farbton
toil,labeur,辛劳,xīn láo,esfuerzo,mühsal
tonsil,amygdale,扁桃体,biǎn táo tǐ,amígdala,mandel
torrent,torrent,激流,jī liú,torrente,torrent
tortoise,tortue,乌龟,wū guī,tortuga,schildkröte
trait,trait,特征,tè zhēng,rasgo,merkmal
tram,tram,电车,diàn chē,tranvía,straßenbahn
transient,transitoire,短暂的,duǎn zàn de,transitorio,vorübergehend
treason,trahison,叛国罪,pàn guó zuì,traición,verrat
tread,bande de roulement,踏,tà,huella,treten
trickle,ruissellement,涓涓细流,juān juān xì liú,chorrito,rinnsal
trinity,trinité,三位一体,sān wèi yī tǐ,trinidad,dreieinigkeit
trolley,chariot,手推车,shǒu tuī chē,carretilla,wagen
tsar,tsar,沙皇,shā huáng,zar,zar
turban,turban,头巾,tóu jīn,turbante,turban
turbulent,turbulent,动荡的,dòng dàng de,turbulento,turbulent
turnip,navet,芜菁,wú jīng,nabo,rübe
tusk,défense,象牙,xiàng yá,colmillo,stoßzahn
twirl,tournoiement,捻,niǎn,giro,drehen
twitter,twitter,推特,tuī tè,gorjeo,twittern
tyran,tyran,暴君,bào jūn,tirano,tyran
typist,dactylographe,打字员,dǎ zì yuán,mecanógrafo,schreibkraft
allege,alléguer,声称,shēng chēng,alegar,behaupten
allot,attribuer,分配,fēn pèi,asignar,zuteilen
alloy,alliage,合金,hé jīn,aleación,legierung
allude,faire allusion,暗示,àn shì,aludir,anspielen
allusion,allusion,典故,diǎn gù,alusión,anspielung
aloud,à haute voix,大声,dà shēng,en voz alta,laut
alphabet,alphabet,字母,zì mǔ,alfabeto,alphabet
altitude,altitude,高度,gāo dù,altitud,höhe
aluminium,aluminium,铝,lǚ,aluminio,aluminium
amass,amasser,积累,jī lèi,acumular,anhäufen
amid,parmi,之中,zhī zhōng,en medio de,inmitten
amnesty,amnistie,大赦,dà shè,amnistía,amnestie
amorous,amoureux,多情的,duō qíng de,amoroso,verliebt
anaemia,anémie,贫血,pín xiě,anemia,anämie
analogy,analogie,比喻,bǐ yù,analogía,analogie
anatomy,anatomie,解剖学,jiě pōu xué,anatomía,anatomie
anew,un nouveau,重新,zhòng xīn,de nuevo,eine neue
animate,animer,动画,dòng huà,animar,animieren
animosity,animosité,敌意,dí yì,animosidad,feindseligkeit
annex,annexe,附件,fù jiàn,anexo,annektieren
anomalous,anormal,异常的,yì cháng de,anómalo,anomal
anthem,hymne,国歌,guó gē,himno,hymne
ant-hill,fourmilière,垤,dié,hormiguero,ameisenhaufen
antipathy,antipathie,反感,fǎn gǎn,antipatía,antipathie
antiquarian,antiquaire,古玩,gǔ wán,anticuario,antiquarisch
apathetic,apathique,冷漠,lěng mo,apático,apathisch
apostle,apôtre,使徒,shǐ tú,apóstol,apostel
apparatus,appareil,仪器,yí qì,aparato,gerät
appease,apaiser,安抚,ān fǔ,apaciguar,beschwichtigen
appendix,annexe,附录,fù lù,apéndice,anhang
appoint,nommer,委,wěi,nombrar,ernennen
appraise,évaluer,评价,píng jiè,evaluar,bewerten
apprehension,appréhension,顾虑,gù lǜ,detención,auffassung
apprentice,apprenti,学徒,xué tú,aprendiz,lehrling
apt,apte,易于,yì yú,apto,geeignet
arab,arabe,阿拉伯,ā lā bó,árabe,arabisch
arc,arc,弧,hú,arco,bogen
archbishop,archevêque,大主教,dà zhǔ jiào,arzobispo,erzbischof
archives,les archives,档案,dǎng àn,archivo,archiv
ardent,ardent,热心,rè xīn,ardiente,glühend
aristocracy,aristocratie,贵族,guì zú,aristocracia,adel
armchair,fauteuil,扶手椅,fú shǒu yǐ,sillón,sessel
armistice,armistice,停战,tíng zhàn,armisticio,waffenstillstand
armpit,aisselle,腋窝,yì wō,axila,achsel
aroma,arôme,香气,xiāng qì,aroma,aroma
arouse,susciter,引起,yǐn qǐ,despertar,erregen
arrears,arrérages,欠款,qiàn kuǎn,atrasos,verzug
artful,astucieux,巧,qiǎo,ingenioso,kunstvoll
ascend,monter,上升,shàng shēng,ascender,aufsteigen
